DATE,spindx
20080328,1315.22
20080331,1322.70
20080401,1370.18
20080402,1367.53
20080403,1369.31
20080404,1370.40
20080407,1372.54
20080408,1365.54
20080409,1354.49
20080410,1360.55
20080411,1332.83
20080414,1328.32
20080415,1334.43
20080416,1364.71
20080417,1365.56
20080418,1390.33
20080421,1388.17
20080422,1375.94
20080423,1379.93
20080424,1388.82
20080425,1397.84
20080428,1396.37
20080429,1390.94
20080430,1385.59
20080501,1409.34
20080502,1413.90
20080505,1407.49
20080506,1418.26
20080507,1392.57
20080508,1397.68
20080509,1388.28
20080512,1403.58
20080513,1403.04
20080514,1408.66
20080515,1423.57
20080516,1425.35
20080519,1426.63
20080520,1413.40
20080521,1390.71
20080522,1394.35
20080523,1375.93
20080527,1385.35
20080528,1390.84
20080529,1398.26
20080530,1400.38
20080602,1385.67
20080603,1377.65
20080604,1377.20
20080605,1404.05
20080606,1360.68
20080609,1361.76
20080610,1358.44
20080611,1335.49
20080612,1339.87
20080613,1360.03
20080616,1360.14
20080617,1350.93
20080618,1337.81
20080619,1342.83
20080620,1317.93
20080623,1318.00
20080624,1314.29
20080625,1321.97
20080626,1283.15
20080627,1278.38
20080630,1280.00
20080701,1284.91
20080702,1261.52
20080703,1262.90
20080707,1252.31
20080708,1273.70
20080709,1244.69
20080710,1253.39
20080711,1239.49
20080714,1228.30
20080715,1214.91
20080716,1245.36
20080717,1260.32
20080718,1260.68
20080721,1260.00
20080722,1277.00
20080723,1282.19
20080724,1252.54
20080725,1257.76
20080728,1234.37
20080729,1263.20
20080730,1284.26
20080731,1267.38
20080801,1260.31
20080804,1249.01
20080805,1284.88
20080806,1289.19
20080807,1266.07
20080808,1296.32
20080811,1305.32
20080812,1289.59
20080813,1285.83
20080814,1292.93
20080815,1298.20
20080818,1278.60
20080819,1266.69
20080820,1274.54
20080821,1277.72
20080822,1292.20
20080825,1266.84
20080826,1271.51
20080827,1281.66
20080828,1300.68
20080829,1282.83
20080902,1277.58
20080903,1274.98
20080904,1236.83
20080905,1242.31
20080908,1267.79
20080909,1224.51
20080910,1232.04
20080911,1249.05
20080912,1251.70
20080915,1192.70
20080916,1213.59
20080917,1156.39
20080918,1206.51
20080919,1255.08
20080922,1207.09
20080923,1188.22
20080924,1185.87
20080925,1209.18
20080926,1213.01
20080929,1106.39
20080930,1166.36
20081001,1161.06
20081002,1114.28
20081003,1099.23
20081006,1056.89
20081007,996.23
20081008,984.94
20081009,909.92
20081010,899.22
20081013,1003.35
20081014,998.01
20081015,907.84
20081016,946.43
20081017,940.55
20081020,985.40
20081021,955.05
20081022,896.78
20081023,908.11
20081024,876.77
20081027,848.92
20081028,940.51
20081029,930.09
20081030,954.09
20081031,968.75
20081103,966.30
20081104,1005.75
20081105,952.77
20081106,904.88
20081107,930.99
20081110,919.21
20081111,898.95
20081112,852.30
20081113,911.29
20081114,873.29
20081117,850.75
20081118,859.12
20081119,806.58
20081120,752.44
20081121,800.03
20081124,851.81
20081125,857.39
20081126,887.68
20081128,896.24
20081201,816.21
20081202,848.81
20081203,870.74
20081204,845.22
20081205,876.07
20081208,909.70
20081209,888.67
20081210,899.24
20081211,873.59
20081212,879.73
20081215,868.57
20081216,913.18
20081217,904.42
20081218,885.28
20081219,887.88
20081222,871.63
20081223,863.16
20081224,868.15
20081226,872.80
20081229,869.42
20081230,890.64
20081231,903.25
20090102,931.80
20090105,927.45
20090106,934.70
20090107,906.65
20090108,909.73
20090109,890.35
20090112,870.26
20090113,871.79
20090114,842.62
20090115,843.74
20090116,850.12
20090120,805.22
20090121,840.24
20090122,827.50
20090123,831.95
20090126,836.57
20090127,845.71
20090128,874.09
20090129,845.14
20090130,825.88
20090202,825.44
20090203,838.51
20090204,832.23
20090205,845.85
20090206,868.60
20090209,869.89
20090210,827.16
20090211,833.74
20090212,835.19
20090213,826.84
20090217,789.17
20090218,788.42
20090219,778.94
20090220,770.05
20090223,743.33
20090224,773.14
20090225,764.90
20090226,752.83
20090227,735.09
20090302,700.82
20090303,696.33
20090304,712.87
20090305,682.55
20090306,683.38
20090309,676.53
20090310,719.60
20090311,721.36
20090312,750.74
20090313,756.55
20090316,753.89
20090317,778.12
20090318,794.35
20090319,784.04
20090320,768.54
20090323,822.92
20090324,806.12
20090325,813.88
20090326,832.86
20090327,815.94
20090330,787.53
20090331,797.87
20090401,811.08
20090402,834.38
20090403,842.50
20090406,835.48
20090407,815.55
20090408,825.16
20090409,856.56
20090413,858.73
20090414,841.50
20090415,852.06
20090416,865.30
20090417,869.60
20090420,832.39
20090421,850.08
20090422,843.55
20090423,851.92
20090424,866.23
20090427,857.51
20090428,855.16
20090429,873.64
20090430,872.81
20090501,877.52
20090504,907.24
20090505,903.80
20090506,919.53
20090507,907.39
20090508,929.23
20090511,909.24
20090512,908.35
20090513,883.92
20090514,893.07
20090515,882.88
20090518,909.71
20090519,908.13
20090520,903.47
20090521,888.33
20090522,887.00
20090526,910.33
20090527,893.06
20090528,906.83
20090529,919.14
20090601,942.87
20090602,944.74
20090603,931.76
20090604,942.46
20090605,940.09
20090608,939.14
20090609,942.43
20090610,939.15
20090611,944.89
20090612,946.21
20090615,923.72
20090616,911.97
20090617,910.71
20090618,918.37
20090619,921.23
20090622,893.04
20090623,895.10
20090624,900.94
20090625,920.26
20090626,918.90
20090629,927.23
20090630,919.32
20090701,923.33
20090702,896.42
20090706,898.72
20090707,881.03
20090708,879.56
20090709,882.68
20090710,879.13
20090713,901.05
20090714,905.84
20090715,932.68
20090716,940.74
20090717,940.38
20090720,951.13
20090721,954.58
20090722,954.07
20090723,976.29
20090724,979.26
20090727,982.18
20090728,979.62
20090729,975.15
20090730,986.75
20090731,987.48
20090803,1002.63
20090804,1005.65
20090805,1002.72
20090806,997.08
20090807,1010.48
20090810,1007.10
20090811,994.35
20090812,1005.81
20090813,1012.73
20090814,1004.09
20090817,979.73
20090818,989.67
20090819,996.46
20090820,1007.37
20090821,1026.13
20090824,1025.57
20090825,1028.00
20090826,1028.12
20090827,1030.98
20090828,1028.93
20090831,1020.62
20090901,998.04
20090902,994.75
20090903,1003.24
20090904,1016.40
20090908,1025.39
20090909,1033.37
20090910,1044.14
20090911,1042.73
20090914,1049.34
20090915,1052.63
20090916,1068.76
20090917,1065.49
20090918,1068.30
20090921,1064.66
20090922,1071.66
20090923,1060.87
20090924,1050.78
20090925,1044.38
20090928,1062.98
20090929,1060.61
20090930,1057.08
20091001,1029.85
20091002,1025.21
20091005,1040.46
20091006,1054.72
20091007,1057.58
20091008,1065.48
20091009,1071.49
20091012,1076.19
20091013,1073.19
20091014,1092.02
20091015,1096.56
20091016,1087.68
20091019,1097.91
20091020,1091.06
20091021,1081.40
20091022,1092.91
20091023,1079.60
20091026,1066.95
20091027,1063.41
20091028,1042.63
20091029,1066.11
20091030,1036.19
20091102,1042.88
20091103,1045.41
20091104,1046.50
20091105,1066.63
20091106,1069.30
20091109,1093.08
20091110,1093.01
20091111,1098.51
20091112,1087.24
20091113,1093.48
20091116,1109.30
20091117,1110.32
20091118,1109.80
20091119,1094.90
20091120,1091.38
20091123,1106.24
20091124,1105.65
20091125,1110.63
20091127,1091.49
20091130,1095.63
20091201,1108.86
20091202,1109.24
20091203,1099.92
20091204,1105.98
20091207,1103.25
20091208,1091.94
20091209,1095.95
20091210,1102.35
20091211,1106.41
20091214,1114.11
20091215,1107.93
20091216,1109.18
20091217,1096.08
20091218,1102.47
20091221,1114.05
20091222,1118.02
20091223,1120.59
20091224,1126.48
20091228,1127.78
20091229,1126.20
20091230,1126.42
20091231,1115.10
20100104,1132.99
20100105,1136.52
20100106,1137.14
20100107,1141.69
20100108,1144.98
20100111,1146.98
20100112,1136.22
20100113,1145.68
20100114,1148.46
20100115,1136.03
20100119,1150.23
20100120,1138.04
20100121,1116.48
20100122,1091.76
20100125,1096.78
20100126,1092.17
20100127,1097.50
20100128,1084.53
20100129,1073.87
20100201,1089.19
20100202,1103.32
20100203,1097.28
20100204,1063.11
20100205,1066.19
20100208,1056.74
20100209,1070.52
20100210,1068.13
20100211,1078.47
20100212,1075.51
20100216,1094.87
20100217,1099.51
20100218,1106.75
20100219,1109.17
